FIBER MJD MODELFLUX_1 MODELFLUX_2 MODELFLUX_3 PLATE
274 55186 3384.1 6259.5 8650.0 3589
164 55182 2874.1 5664.5 8112.0 3662
562 55244 2722.0 4879.8 6748.7 3682
852 55244 2852.8 6423.3 9722.6 3682
944 55269 3231.1 6074.2 8299.8 3687
970 55273 2015.4 2484.7 3305.2 3688
668 55274 7685.0 11826.0 15057.0 3691
660 55517 7249.7 12437.0 16370.0 3699
953 55505 49876.0 9.0739 11.799 3756
780 55332 3056.6 7034.2 10366.0 3930
734 55336 3231.8 7559.6 11659.0 3943
284 55678 2111.0 5145.2 8068.7 3955
750 55325 3412.5 3906.5 3449.1 4026
600 55361 4359.6 9106.0 13194.0 4041
166 55626 2128.7 4285.6 6495.4 4042
656 55591 2044.3 4316.2 6326.7 4049
176 55589 2260.2 3550.6 4640.8 4052
172 55600 2260.2 3550.6 4640.8 4052
680 55443 2025.9 1528.4 2953.1 4201
122 55471 3038.8 6146.0 9211.0 4215
448 55477 3038.8 6146.0 9211.0 4216
774 55483 2084.5 2872.1 14953.0 4230
914 55830 3494.1 8043.7 12347.0 4371
440 55858 2447.6 5261.0 7858.9 4465
124 55894 4112.9 8144.8 12298.0 4468
204 55592 2058.8 3462.5 4766.8 4479
200 55569 2062.5 4401.7 6516.9 4502
654 55590 7249.7 12437.0 16370.0 4527
602 55983 2034.0 3794.6 5151.1 4604
218 55615 2491.4 4601.9 6299.7 4635
410 55946 2860.6 7606.9 10064.0 4643
502 55614 2569.4 5100.4 7278.3 4661
952 56209 2161.4 3859.3 5267.3 4665
128 56226 2034.0 3794.6 5151.1 4684
942 55660 3451.1 6229.5 8476.3 4697
882 55709 5635.8 10690.0 14921.0 4700
766 55707 5199.1 10089.0 14194.0 4710
976 55646 5382.2 10348.0 13130.0 4751
414 55660 4667.2 8967.3 12108.0 4755
890 55653 9738.6 18256.0 24325.0 4757
314 55925 6074.4 12615.0 18717.0 4771
644 55677 8273.9 18290.0 26552.0 4784
921 55715 3642.5 7643.1 11074.0 4805
144 55680 3076.6 6737.0 10710.0 4832
432 55680 5084.7 8364.8 10888.0 4832
266 55690 3352.2 7091.0 10560.0 4840
630 55928 2683.8 4619.0 6040.0 4853
880 55926 4452.9 6292.7 7677.5 4855
138 55691 3803.3 7099.8 10318.0 4860
116 55710 2010.8 4305.4 6342.0 4861
315 55685 3363.4 6855.0 10156.0 4862
886 55710 3447.5 7868.9 11676.0 4878
859 55749 2412.6 5632.7 8190.0 5041
128 56329 3639.7 6124.2 8281.3 5150
481 56567 2349.1 5459.7 8331.3 5151
832 55946 4447.5 8848.0 11952.0 5155
56 56074 2711.9 4488.6 5930.9 5189
756 56077 3180.4 7051.3 10708.0 5190
864 55913 3978.4 6683.0 8473.2 5297
492 55927 3242.3 5349.1 6723.9 5299
488 55955 3711.5 7011.9 9930.0 5316
450 55983 2483.3 5386.2 7744.4 5318
881 55999 2256.8 4637.1 6835.5 5320
34 56003 3229.1 7341.8 10995.0 5322
414 56002 3229.1 7341.8 10995.0 5326
183 55981 2035.5 4530.9 7291.8 5332
20 55999 2007.9 3595.9 4772.1 5343
572 55978 2007.9 3595.9 4772.1 5348
610 55978 2329.2 4760.9 6542.1 5348
500 56009 2254.4 3347.7 3640.7 5355
